|6.6.6
pyrolite_workman_hart2005.tab
           2
T(K)
   400.00360000000001
   19.999960000020000
         181
P(bar)
   15001.334999999999
   5114.9322988556905
         262
           8
T(K)           P(bar)         rho,kg/m3      alpha,1/K      cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg
   400.004         15001.       3426.803      0.3291203E-04   1010.331       8.410723       4.846974     -0.1287273E+08
   420.004         15001.       3424.619      0.3079490E-04   1026.793       8.397981       4.837532     -0.1285285E+08
   440.004         15001.       3422.672      0.2785735E-04   1041.676       8.385811       4.828389     -0.1283160E+08
   460.003         15001.       3420.833      0.2408131E-04   1055.204       8.374527       4.819860     -0.1281071E+08
   480.003         15001.       3419.377      0.1938263E-04   1067.954       8.364235       4.811826     -0.1278988E+08
   500.003         15001.       3418.176      0.1367580E-04   1080.244       8.355131       4.804463     -0.1276819E+08
   520.003         15001.       3417.522      0.6818239E-05   1092.638       8.347554       4.797784     -0.1274647E+08
   540.003         15001.       3416.826      0.2921460E-04   1097.211       8.340101       4.791137     -0.1272418E+08
   560.003         15001.       3414.824      0.2937834E-04   1105.008       8.328232       4.782672     -0.1270260E+08
   580.003         15001.       3412.834      0.2954260E-04   1112.109       8.316418       4.774359     -0.1268026E+08
   600.003         15001.       3410.788      0.2971045E-04   1118.693       8.304571       4.766094     -0.1265757E+08
   620.003         15001.       3408.758      0.2988436E-04   1124.746       8.292710       4.758002     -0.1263550E+08
   640.003         15001.       3406.710      0.3006670E-04   1130.333       8.280849       4.749879     -0.1261303E+08
   660.003         15001.       3404.718      0.3025941E-04   1135.564       8.268993       4.741858     -0.1259013E+08
   680.003         15001.       3402.580      0.3046383E-04   1140.521       8.257109       4.733910     -0.1256736E+08
   700.003         15001.       3400.524      0.3067998E-04   1145.160       8.245175       4.726058     -0.1254516E+08
   720.003         15001.       3398.452      0.3090977E-04   1149.494       8.233221       4.718199     -0.1252153E+08
   740.003         15001.       3396.352      0.3115472E-04   1153.695       8.221226       4.710320     -0.1249845E+08
   760.003         15001.       3394.195      0.3141450E-04   1157.686       8.209191       4.702600     -0.1247572E+08
   780.003         15001.       3392.087      0.3168966E-04   1161.500       8.197029       4.694770     -0.1245263E+08
   800.003         15001.       3389.914      0.3198230E-04   1165.146       8.184830       4.687012     -0.1242906E+08
   820.003         15001.       3387.708      0.3229100E-04   1168.693       8.172536       4.679318     -0.1240600E+08
   840.003         15001.       3385.552      0.3261828E-04   1172.177       8.160130       4.671524     -0.1238245E+08
   860.003         15001.       3383.343      0.3296445E-04   1175.491       8.147562       4.663790     -0.1235878E+08
   880.003         15001.       3381.078      0.3332960E-04   1178.738       8.134986       4.655985     -0.1233542E+08
   900.003         15001.       3378.855      0.3371589E-04   1182.016       8.122228       4.648197     -0.1231154E+08
   920.003         15001.       3376.521      0.3412486E-04   1185.143       8.109432       4.640395     -0.1228813E+08
   940.003         15001.       3374.224      0.3455815E-04   1188.214       8.096453       4.632621     -0.1226417E+08
   960.002         15001.       3371.870      0.3501766E-04   1191.311       8.083269       4.624706     -0.1224062E+08
   980.002         15001.       3369.450      0.3550457E-04   1194.369       8.070013       4.616827     -0.1221643E+08
  1000.002         15001.       3367.033      0.3602630E-04   1197.512       8.056475       4.608849     -0.1219325E+08
  1020.002         15001.       3364.659      0.3658178E-04   1200.582       8.042811       4.600914     -0.1216851E+08
  1040.002         15001.       3362.112      0.3717626E-04   1203.643       8.028967       4.592893     -0.1214504E+08
  1060.002         15001.       3359.579      0.3782093E-04   1206.767       8.014855       4.584686     -0.1212071E+08
  1080.002         15001.       3357.028      0.3851371E-04   1209.994       8.000567       4.576502     -0.1209666E+08
  1100.002         15001.       3354.457      0.3926935E-04   1213.232       7.986008       4.568269     -0.1207245E+08
  1120.002         15001.       3351.820      0.4009730E-04   1216.625       7.971140       4.559953     -0.1204826E+08
  1140.002         15001.       3349.113      0.4101234E-04   1220.110       7.955948       4.551430     -0.1202365E+08
